	F_Day_0_DSS_D	O_Day_0_DSS_D	O_Day_3_DSS_D	F_Day_7_DSS_D	F_Day_3_DSS_D	O_Day_7_DSS_D
ASV_444	6	0	0	291	65	101
ASV_445	0	0	0	0	0	9
ASV_45	9	0	38	24	59	421
ASV_450	0	29	0	0	0	0
ASV_46	73	0	169	36	13	462
ASV_460	6	0	0	1271	167	260
ASV_461	0	0	0	0	0	7
ASV_462	0	0	0	0	0	298
ASV_4620	11	0	0	0	3	0
ASV_463	0	0	0	0	0	28
ASV_466	0	0	0	23	169	0
ASV_467	0	75	0	0	0	0
ASV_47	0	0	0	0	0	20
ASV_471	108	0	159	2160	2333	14583
ASV_477	0	0	0	0	0	26
ASV_48	309	0	0	4830	1037	2531
ASV_481	0	0	0	0	1057	0
ASV_4878	0	2	0	0	0	0
ASV_488	0	0	39	0	0	4
ASV_49	0	0	45	0	0	0
ASV_4911	0	52	0	0	0	0
ASV_4994	0	0	16	175	568	911
ASV_50	9	0	686	3229	2438	3445
ASV_501	0	0	52	0	0	0
ASV_505	17	0	220	1149	578	467
ASV_506	0	0	0	0	55	0
ASV_511	16	0	0	83	118	0
ASV_518	11	0	0	3	0	0
ASV_519	0	0	0	49	190	127
ASV_520	0	0	0	0	55	0
ASV_524	0	0	51	0	26	86
ASV_5292	7	0	0	0	0	0
ASV_53	0	8472	201	0	0	28
ASV_530	0	4	0	0	0	0
ASV_539	23	0	0	0	0	0
ASV_54	32	0	0	767	720	990
ASV_544	0	0	59	0	74	0
ASV_547	0	0	236	34	88	389
ASV_552	55	0	0	0	0	0
ASV_5599	0	0	0	16	25	0
ASV_560	0	0	76	0	0	0
ASV_5600	0	0	0	0	4	0
ASV_5606	0	0	0	37	41	0
ASV_5619	0	0	82	0	0	0
ASV_564	3	0	0	0	5	0
ASV_566	0	0	0	181	148	115
ASV_567	0	0	0	0	0	156
ASV_568	0	0	0	223	337	130
ASV_571	0	0	0	0	0	18
ASV_5711	17	0	0	13	0	1
ASV_572	27	0	0	0	0	0
ASV_5772	0	92	0	0	0	0
ASV_578	193	0	884	4	5	0
ASV_580	0	0	0	312	471	166
ASV_581	0	53	0	0	0	0
ASV_585	13	0	0	439	47	42
ASV_5876	0	172	0	0	0	0
ASV_5888	0	167	0	0	0	0
ASV_5928	0	49	26	0	0	0
ASV_593	8	0	0	0	0	0
ASV_5986	3	0	0	0	0	0
ASV_6	0	0	199	0	0	0
ASV_60	3	0	227	112	206	104
ASV_6011	0	189	3	0	0	0
ASV_604	0	0	648	665	1187	356
ASV_6045	0	0	39	2	0	1
ASV_6063	0	0	25	0	0	0
ASV_609	0	0	0	0	0	6
ASV_6109	4	0	0	10	12	6
ASV_611	0	0	55	0	0	0
ASV_612	0	0	0	0	32	0
ASV_614	0	0	0	0	0	43
ASV_619	0	163	0	0	0	0
ASV_6209	0	0	369	0	0	0
ASV_633	0	0	0	0	5	20
ASV_6391	0	144	0	0	0	0
ASV_64	0	0	0	49	32	64
ASV_648	9	0	0	302	1610	82
ASV_6503	0	0	0	0	0	2
ASV_654	0	0	0	69	72	30
ASV_656	0	335	25	0	0	0
ASV_658	0	0	21	184	204	101
ASV_659	0	0	37	0	0	0
ASV_663	0	0	0	28	157	28
ASV_67	0	0	0	0	0	7
ASV_6745	0	45	0	0	0	0
ASV_68	0	0	0	7	0	0
ASV_6800	0	265	0	0	0	0
ASV_6812	0	3	0	0	0	0
ASV_684	6	0	0	0	90	29
ASV_6856	0	1	0	0	0	0
ASV_6863	0	0	25	0	0	0
ASV_69	0	0	0	9	6	0
ASV_7	111	106	1149	864	845	10623
ASV_70	99	0	738	919	1807	198
ASV_706	0	0	0	48	5	98
ASV_71	9	0	41	23	5	267
ASV_711	0	0	0	114	0	196
ASV_712	0	0	0	15	30	3
ASV_7182	0	209	0	0	0	0
ASV_719	12	0	63	11	66	18
ASV_72	0	0	0	0	20	7
ASV_721	0	0	0	0	0	83
ASV_729	0	0	0	0	32	44
ASV_73	0	0	0	50	24	300
ASV_730	0	0	0	0	0	8
ASV_7301	0	0	469	0	0	7
ASV_737	0	0	0	7	0	82
ASV_7384	0	50	0	0	0	0
ASV_74	0	0	0	1502	0	65
ASV_740	0	0	0	0	0	50
ASV_741	0	0	0	10	0	0
ASV_75	0	152	0	0	0	0
ASV_750	0	0	0	33	31	12
ASV_756	22	0	0	277	459	74
ASV_76	18	0	0	14	0	94
ASV_765	0	0	0	0	24	7
ASV_77	0	0	0	31	21	98
ASV_7715	0	0	0	0	0	1
ASV_772	0	0	0	11	16	1
ASV_7765	0	0	0	28	69	214
