	F_Day_0_Abx_E	O_Day_0_Abx_E	O_Day_3_Abx_E	F_Day_7_Abx_E	O_Day_7_Abx_E	F_Day_3_Abx_E
ASV_2309	8	0	0	12	0	1
ASV_231	7	0	0	0	0	248
ASV_232	509	0	0	20	0	130
ASV_233	38	0	0	4	0	0
ASV_234	0	0	0	0	0	54
ASV_236	0	0	0	0	0	90
ASV_237	206	0	0	18	0	812
ASV_238	7	0	0	0	0	46
ASV_24	0	128	0	0	0	163
ASV_240	72	0	0	0	0	160
ASV_241	113	0	0	5	0	50
ASV_242	0	113	64	0	0	24
ASV_2420	0	1790	0	0	64	88
ASV_247	35	0	0	0	0	0
ASV_248	39	0	0	0	0	0
ASV_25	2517	0	0	73	0	1472
ASV_251	17	0	0	0	0	62
ASV_252	51	0	0	0	0	61
ASV_253	3	0	0	7	0	26
ASV_255	0	34	0	0	0	0
ASV_256	39	0	0	0	0	100
ASV_2596	0	291	29	0	0	0
ASV_2598	0	306	33	0	0	0
ASV_26	914	88	63	31	0	482
ASV_2607	0	0	0	0	0	52
ASV_263	6	0	0	0	0	0
ASV_264	17	0	0	0	0	294
ASV_2651	0	46	0	0	0	0
ASV_266	65	0	0	59	25	670
ASV_2660	0	0	0	0	0	53
ASV_268	0	132	0	0	0	54
ASV_269	0	0	0	0	0	825
ASV_2699	0	0	33	0	0	14
ASV_27	522	0	16	188	0	9455
ASV_272	17	0	0	0	0	0
ASV_274	88	0	0	23	0	70
ASV_275	21	0	0	0	0	104
ASV_276	0	0	0	0	0	21
ASV_277	8	0	0	0	0	0
ASV_2777	2880	0	0	43	0	1553
ASV_278	0	0	0	0	0	65
ASV_2787	53	0	0	0	0	0
ASV_2791	0	0	29	0	0	0
ASV_280	0	0	0	0	0	498
ASV_281	0	0	0	34	0	524
ASV_283	19	0	34	26	0	5
ASV_285	0	54	0	0	0	0
ASV_2867	0	25	0	0	0	0
ASV_288	11	0	0	0	0	0
ASV_2881	0	0	0	0	3	0
ASV_2892	0	0	0	0	0	311
ASV_29	16	0	0	3	0	0
ASV_292	12	0	0	4	12	208
ASV_2942	48	0	0	6	0	47
ASV_296	39	0	0	0	0	11
ASV_299	7	0	0	0	0	33
ASV_30	2407	0	0	93	0	715
ASV_300	0	0	0	0	0	149
ASV_301	5	0	0	0	0	0
ASV_302	0	165	60	0	0	62
ASV_303	0	16	0	0	0	38
ASV_304	129	0	0	0	0	138
ASV_3057	0	0	0	0	0	64
ASV_3069	0	170	0	0	32	0
ASV_3087	0	0	0	0	0	46
ASV_309	0	0	0	0	0	23
ASV_31	600	0	0	33	0	62
ASV_3100	17	0	0	0	0	0
ASV_3105	0	0	0	0	44	0
ASV_311	0	0	0	0	0	38
ASV_312	0	0	0	0	0	15
ASV_3141	0	22	0	0	0	49
ASV_315	0	60	0	0	0	0
ASV_32	10	0	0	3	0	0
ASV_320	144	0	0	20	0	24
ASV_323	0	0	0	0	0	40
ASV_3241	0	0	0	0	0	50
ASV_3253	0	0	0	0	0	17
ASV_327	0	0	0	0	0	24
ASV_3291	0	92	0	0	0	0
ASV_33	32	5726	14	156	17	77
ASV_332	33	0	0	0	0	84
ASV_335	27	0	0	0	0	55
ASV_336	20	0	0	0	0	0
ASV_337	468	0	0	0	0	287
ASV_3372	426	0	0	0	0	54
ASV_338	50	0	0	0	0	183
ASV_3381	0	279	0	0	0	0
ASV_340	0	0	0	0	0	61
ASV_341	0	28	0	0	0	0
ASV_342	142	0	0	0	0	141
ASV_343	0	22	0	0	0	29
ASV_344	0	0	0	0	0	392
ASV_348	0	0	0	0	0	79
ASV_350	0	0	0	8	0	0
ASV_3504	0	21	0	0	0	0
ASV_352	0	68	0	0	0	0
ASV_355	0	24	0	0	4	9
ASV_356	42	0	0	0	0	142
ASV_357	33	0	0	0	0	0
ASV_358	0	102	35	0	0	71
ASV_3597	420	0	0	30	4	651
ASV_36	224	0	0	46	0	127
ASV_360	58	0	0	15	0	272
ASV_3600	59	0	0	0	0	0
ASV_3605	0	0	0	0	0	409
ASV_3607	0	102	305	15	21	556
ASV_3609	0	2	0	0	0	0
ASV_361	113	0	0	0	0	0
ASV_3613	10	0	0	0	0	0
ASV_3618	15	0	0	0	0	0
ASV_3621	33	0	0	0	0	60
ASV_3622	0	0	0	0	0	105
ASV_3646	0	0	0	0	0	10
ASV_365	18	0	0	0	0	28
ASV_3650	0	143	106	12	29	125
ASV_3657	4	0	0	0	0	0
ASV_3659	0	0	0	0	0	78
ASV_366	0	18	0	0	0	0
ASV_367	0	379	0	0	0	0
ASV_369	0	0	0	10	0	0
ASV_37	18	0	0	3	0	426
ASV_371	8	0	0	0	0	82
ASV_3718	1848	0	0	79	0	379
ASV_3719	0	54	0	0	0	0
ASV_372	18	0	0	0	0	208
ASV_3739	0	0	189	0	0	112
ASV_374	0	2039	0	0	0	236
ASV_375	0	33	0	0	0	0
ASV_3750	1	0	0	0	0	0
ASV_3763	0	52	18	0	0	0
ASV_377	0	0	0	0	0	8
ASV_3785	0	73	0	0	0	0
ASV_3793	0	0	0	0	0	25
ASV_380	0	0	0	0	0	366
ASV_382	3	0	0	0	0	68
ASV_385	0	0	0	0	0	82
ASV_3867	3	0	0	0	0	0
ASV_389	0	100	0	0	0	354
ASV_39	6	154	0	0	0	0
ASV_390	0	18	0	0	0	0
ASV_3913	0	118	27	0	0	0
ASV_3918	46	0	0	0	0	50
ASV_3921	0	0	0	0	0	50
ASV_3930	134	0	0	0	0	0
ASV_3941	147	0	0	0	0	42
ASV_3960	1886	0	0	14	0	621
ASV_3964	0	27	0	0	0	0
ASV_3965	0	0	0	0	0	199
ASV_3971	0	115	0	0	0	0
ASV_3975	7	0	0	1	0	0
ASV_3987	114	0	0	16	0	68
ASV_399	0	0	0	0	0	25
ASV_3999	0	22	0	0	0	0
