	KP_Exp_8_D0_AVN3	KP_Exp_8_D0_OR_AVN3	KP_Exp_8_D8_AVN3
ASV_805	0	0	10
ASV_806	0	0	74
ASV_809	0	0	20
ASV_81	63	0	0
ASV_82	0	5	0
ASV_820	0	0	6
ASV_83	0	0	2123
ASV_832	0	0	33
ASV_85	15	0	0
ASV_86	10	41	0
ASV_862	0	0	20
ASV_868	0	0	10
ASV_88	21	0	0
ASV_885	0	0	12
ASV_89	8	0	0
ASV_890	0	0	47
ASV_898	0	0	13
ASV_899	0	0	11
ASV_9	0	0	3833
ASV_91	64	0	0
ASV_910	0	0	12
ASV_911	0	0	7
ASV_92	10	0	0
ASV_937	0	0	10
ASV_94	23	0	0
ASV_942	0	0	10
ASV_945	0	0	1
ASV_95	10	0	0
ASV_953	0	0	11
ASV_959	0	0	25
ASV_96	38	0	0
ASV_962	0	0	9
ASV_963	0	0	5
ASV_97	37	6	0
ASV_980	0	0	13
ASV_983	0	0	23
ASV_988	0	0	175
ASV_99	0	0	62
