	KP_Exp_8_D0_AVN2	KP_Exp_8_D0_OR_AVN2	KP_Exp_8_D8_AVN2
ASV_668	0	0	14
ASV_67	100	35	0
ASV_675	0	0	9
ASV_6756	0	0	7
ASV_6757	0	0	7
ASV_6758	0	0	7
ASV_6759	0	0	7
ASV_6760	0	0	7
ASV_6761	0	0	7
ASV_6762	0	0	7
ASV_6763	0	0	7
ASV_6764	0	0	7
ASV_6765	0	0	7
ASV_6766	0	0	7
ASV_6767	0	0	7
ASV_6768	0	0	7
ASV_6769	0	0	3
ASV_677	6	0	0
ASV_68	83	0	0
ASV_684	37	0	0
ASV_685	0	0	26
ASV_686	0	0	12
ASV_6863	0	0	3
ASV_687	0	0	13
ASV_6898	0	0	6
ASV_6899	0	0	6
ASV_69	17	0	0
ASV_6900	0	0	6
ASV_6901	0	0	6
ASV_6902	0	0	6
ASV_6903	0	0	6
ASV_6904	0	0	6
ASV_6905	0	0	6
ASV_6906	0	0	6
ASV_691	137	0	0
ASV_695	0	0	8
ASV_698	0	0	11
ASV_7	940	2577	46
ASV_70	56	0	0
ASV_704	0	0	4
ASV_7045	0	0	5
ASV_7046	0	0	5
ASV_7047	0	0	5
ASV_7048	0	0	5
ASV_7049	0	0	5
ASV_705	0	0	142
ASV_7050	0	0	5
ASV_7051	0	0	5
ASV_7052	0	0	5
ASV_7053	0	0	5
ASV_7054	0	0	5
ASV_7055	0	0	5
ASV_7056	0	0	5
ASV_7057	0	0	5
ASV_7058	0	0	5
ASV_7059	0	0	5
ASV_7060	0	0	5
ASV_708	0	0	14
ASV_71	138	0	0
ASV_710	0	0	25
ASV_711	23	0	0
ASV_718	0	0	52
ASV_72	36	0	0
ASV_720	0	0	10
ASV_7216	0	0	4
ASV_7217	0	0	4
ASV_7218	0	0	4
ASV_7219	0	0	4
ASV_722	0	0	10
ASV_7220	0	0	4
ASV_7221	0	0	4
ASV_7222	0	0	4
ASV_7223	0	0	4
ASV_7224	0	0	4
ASV_7225	0	0	4
ASV_7226	0	0	4
ASV_7227	0	0	4
ASV_7228	0	0	4
ASV_7229	0	0	3
ASV_726	12	0	0
ASV_730	4	0	0
ASV_736	0	0	4
ASV_7398	0	0	3
ASV_7399	0	0	3
ASV_74	49	0	0
ASV_7400	0	0	3
ASV_7401	0	0	3
ASV_7402	0	0	3
ASV_7403	0	0	3
ASV_7404	0	0	3
ASV_7405	0	0	3
ASV_7406	0	0	3
ASV_7407	0	0	3
ASV_7408	0	0	3
ASV_747	0	0	8
ASV_75	0	0	444
ASV_7532	0	2	0
ASV_7533	0	2	0
ASV_7534	0	2	0
ASV_7572	0	0	2
ASV_7573	0	0	2
ASV_7574	0	0	2
ASV_7575	0	0	2
ASV_7576	0	0	2
ASV_7578	0	0	2
ASV_7579	0	0	2
ASV_76	199	0	0
ASV_760	0	0	13
ASV_767	0	0	12
ASV_7673	1	0	0
ASV_769	0	0	13
