	F_Day_0_Abx_C	O_Day_0_Abx_C	F_Day_3_Abx_C	O_Day_3_Abx_C
ASV_4620	1	0	0	0
ASV_466	3	0	4	0
ASV_467	0	0	68	0
ASV_471	1668	847	527	124
ASV_477	0	1037	0	0
ASV_48	1240	0	68	0
ASV_481	69	0	0	0
ASV_486	31	0	0	0
ASV_4878	0	0	0	21
ASV_488	0	0	780	476
ASV_49	3	0	163	0
ASV_490	0	0	284	0
ASV_4911	0	0	0	6
ASV_4994	0	0	148	0
ASV_50	253	0	835	76
ASV_505	1688	0	0	4
ASV_509	0	0	0	8
ASV_511	57	0	0	0
ASV_5140	0	0	0	38
ASV_5149	0	0	0	4
ASV_519	35	0	419	0
ASV_529	0	0	0	24
ASV_5292	13	0	0	0
ASV_53	0	17379	119	262
ASV_534	0	0	234	0
ASV_5386	5	0	0	0
ASV_539	372	0	338	33
ASV_54	300	0	416	0
ASV_544	61	0	0	0
ASV_547	0	0	108	30
ASV_55	112	1587	0	0
ASV_552	385	0	67	0
ASV_5599	0	0	28	0
ASV_5600	0	0	7	0
ASV_5602	0	0	0	18
ASV_5606	0	0	36	0
ASV_5607	0	0	0	22
ASV_5608	0	0	0	87
ASV_5619	0	84	0	0
ASV_563	0	0	118	0
ASV_564	23	0	64	0
ASV_566	96	0	0	0
ASV_567	51	0	0	0
ASV_568	114	0	0	0
ASV_569	0	0	68	65
ASV_57	8	0	0	0
ASV_5711	13	0	1	0
ASV_572	394	0	0	0
ASV_578	1421	0	134	0
ASV_580	196	0	346	0
ASV_581	0	0	0	7
ASV_585	27	0	13	0
ASV_5876	0	0	27	33
ASV_588	0	0	139	0
ASV_5928	0	88	0	65
ASV_593	0	0	28	0
ASV_595	0	1504	0	27
ASV_5986	0	0	1	8
ASV_599	0	0	0	26
ASV_6	0	0	0	65
ASV_60	0	0	83	0
ASV_6011	0	734	0	104
ASV_604	193	0	0	0
ASV_6045	0	0	23	45
ASV_6069	0	0	0	17
ASV_6074	0	0	0	126
ASV_6109	0	0	4	0
ASV_6125	0	0	0	56
ASV_6137	0	109	0	7
ASV_6143	0	206	0	0
ASV_6182	0	0	97	0
ASV_6209	0	0	4	0
ASV_6235	0	0	0	4
ASV_6260	0	0	0	10
ASV_6263	0	0	64	0
ASV_64	7	0	0	0
ASV_645	0	0	13	0
ASV_647	21	0	0	0
ASV_648	64	0	0	0
ASV_652	6	0	0	0
ASV_654	10	0	229	0
ASV_655	0	0	73	0
ASV_656	0	584	0	0
ASV_658	101	0	547	0
ASV_659	0	0	0	2
ASV_663	14	0	3	0
ASV_6682	0	0	0	9
ASV_67	0	0	3	0
ASV_6722	0	0	2	0
ASV_6745	0	0	292	22
ASV_6769	0	0	0	14
ASV_684	32	0	0	0
ASV_6856	0	1	0	0
ASV_6863	0	110	0	57
ASV_6887	0	330	0	0
ASV_69	88	0	10	0
ASV_695	0	373	0	0
ASV_7	668	43	1610	243
ASV_70	87	0	257	0
ASV_7025	0	0	0	24
ASV_706	17	0	0	0
ASV_7074	0	0	0	4
ASV_71	49	0	4	0
ASV_714	0	136	0	0
ASV_719	2	0	68	0
ASV_7239	0	0	0	9
ASV_73	10	0	0	0
ASV_7301	0	0	0	98
ASV_732	0	0	78	0
ASV_736	0	0	0	84
ASV_740	13	0	0	0
ASV_7474	0	277	0	0
ASV_75	0	26	14	0
ASV_750	68	0	0	0
ASV_7505	0	0	0	53
ASV_756	130	0	335	0
ASV_76	29	296	619	10
ASV_765	10	0	1	0
ASV_77	27	0	0	0
ASV_772	0	0	0	9
ASV_7763	429	100	221	36
ASV_7765	21	0	0	14
ASV_7766	5028	3941	6476	87
ASV_7767	492	0	421	0
ASV_7779	15	0	631	0
ASV_779	378	0	92	0
ASV_7794	211	0	0	0
ASV_7799	22	0	0	0
ASV_7813	119	0	448	0
ASV_782	0	0	0	44
ASV_7839	14	0	0	0
ASV_7846	0	0	1	0
ASV_7854	2	0	0	0
ASV_7861	4	6	0	0
ASV_7870	0	0	628	0
ASV_79	106	0	0	0
ASV_7916	0	0	0	5
ASV_7922	0	0	107	0
ASV_7971	0	0	0	24
ASV_80	241	0	416	15
ASV_8027	0	0	84	0
ASV_804	11	0	0	0
ASV_809	0	117	0	0
ASV_8100	25	0	0	0
ASV_812	9	0	0	0
ASV_816	176	0	252	6
ASV_8260	5	0	0	0
ASV_829	38	0	91	0
ASV_830	5	0	0	0
ASV_832	0	0	78	0
ASV_835	33	0	1095	52
ASV_8400	0	0	11	0
ASV_851	0	0	0	19
ASV_8520	4	0	5	0
ASV_86	4403	5	4013	92
ASV_8652	2	0	0	0
ASV_866	21	0	0	0
ASV_87	285	0	0	0
ASV_8764	5	0	0	0
ASV_877	0	0	0	20
ASV_879	0	977	0	0
ASV_884	7	0	0	0
ASV_89	0	0	129	0
ASV_890	0	0	0	29
ASV_90	140	0	167	61
ASV_901	0	0	156	0
ASV_9027	1	0	0	0
ASV_907	0	0	0	28
ASV_913	349	0	0	0
ASV_9156	0	0	75	0
ASV_921	354	0	0	0
ASV_9268	0	428	0	16
ASV_93	35	0	0	0
ASV_943	0	0	205	440
ASV_948	0	0	217	0
ASV_95	859	0	185	0
ASV_9599	0	0	0	58
ASV_9667	0	0	832	359
ASV_9668	0	2075	547	200
ASV_9669	0	0	0	49
ASV_9672	0	0	356	36
ASV_9673	0	311	238	429
ASV_9674	0	1255	0	0
ASV_9676	0	97	0	123
ASV_9677	0	724	158	0
ASV_9684	0	0	0	245
ASV_9693	0	0	83	0
ASV_9699	0	0	191	66
ASV_9703	0	931	0	0
ASV_9709	0	0	0	50
ASV_9721	0	0	234	0
ASV_9732	0	0	0	17
ASV_9760	0	0	0	44
ASV_9766	0	0	0	3
ASV_9775	0	0	0	32
ASV_9779	0	0	0	178
ASV_98	16	0	0	0
ASV_9817	0	427	0	0
ASV_9818	0	0	0	65
ASV_9829	0	638	0	0
ASV_9832	0	0	0	17
ASV_9833	0	0	0	17
ASV_9835	0	0	0	10
ASV_9841	0	0	0	76
ASV_9848	0	632	0	0
ASV_985	8	0	7	0
ASV_9850	0	0	4	0
ASV_9862	0	533	0	0
ASV_9864	0	0	0	2
ASV_9867	0	525	0	0
