	F_Day_0_Abx_A	O_Day_0_Abx_A	O_Day_7_Abx_A	F_Day_3_Abx_A	F_Day_7_Abx_A	O_Day_3_Abx_A
ASV_566	165	0	0	415	4	0
ASV_567	901	0	0	705	0	0
ASV_568	399	0	0	573	0	0
ASV_569	0	89	0	152	0	310
ASV_57	297	0	0	164	0	0
ASV_5711	1	0	0	2	4	0
ASV_572	215	0	0	1680	42	0
ASV_578	3071	0	0	52	102	0
ASV_580	1454	0	0	1691	23	0
ASV_5825	0	0	0	30	0	0
ASV_585	508	0	0	140	229	0
ASV_5876	0	0	0	53	0	0
ASV_5928	0	0	0	243	0	0
ASV_593	0	0	0	104	0	0
ASV_595	0	0	0	0	0	172
ASV_596	40	0	0	0	0	0
ASV_5986	2	0	0	1	1	0
ASV_60	0	0	0	781	8	0
ASV_600	0	0	0	0	0	90
ASV_6011	0	711	45	0	3	3
ASV_604	54	0	0	1831	0	0
ASV_6045	0	1027	19	0	13	0
ASV_6069	0	0	20	0	4	0
ASV_6070	0	0	7	0	0	0
ASV_6074	0	0	0	292	3	0
ASV_609	101	0	0	20	0	0
ASV_6109	13	0	0	10	8	0
ASV_612	229	0	0	0	0	0
ASV_615	0	0	0	59	0	0
ASV_6180	0	0	3	0	0	0
ASV_6182	0	0	0	377	0	0
ASV_6260	0	0	0	0	2	0
ASV_627	0	0	0	122	0	0
ASV_6281	0	11	0	0	0	0
ASV_633	0	0	0	0	3	0
ASV_64	98	0	0	38	7	0
ASV_647	194	0	0	5	0	0
ASV_648	0	0	0	183	0	0
ASV_65	0	0	0	41	0	0
ASV_6503	1	0	0	0	0	0
ASV_6517	0	0	0	142	0	0
ASV_652	67	0	0	0	3	0
ASV_654	20	0	0	180	0	0
ASV_655	162	0	0	289	11	0
ASV_656	0	0	6	0	0	26
ASV_6565	0	0	0	41	0	0
ASV_658	603	0	0	1721	25	0
ASV_6584	0	0	0	55	0	0
ASV_659	0	3457	0	0	0	0
ASV_663	0	0	0	83	14	0
ASV_6632	0	0	0	48	0	0
ASV_6657	0	0	4	0	0	0
ASV_6682	0	2633	0	0	0	0
ASV_67	101	0	0	0	0	0
ASV_6745	0	290	3	50	0	7
ASV_6751	0	0	2	0	0	0
ASV_6800	0	4	0	0	0	0
ASV_681	122	0	0	0	0	0
ASV_6812	0	4	2	0	0	0
ASV_684	397	0	0	26	0	0
ASV_6856	0	0	0	0	4	0
ASV_6863	0	0	15	0	19	0
ASV_6899	0	28	0	0	0	0
ASV_69	438	0	0	230	160	0
ASV_695	0	15	0	0	0	0
ASV_7	868	0	58	2493	1493	11
ASV_70	381	0	0	251	120	0
ASV_706	0	0	0	182	7	0
ASV_71	318	0	4	765	15	0
ASV_719	47	0	0	225	10	0
ASV_72	0	0	0	46	0	0
ASV_720	0	0	3	0	0	0
ASV_721	328	0	0	571	0	0
ASV_7281	0	0	2	0	0	0
ASV_729	269	0	0	278	0	0
ASV_73	722	0	0	112	0	0
ASV_730	10	0	0	0	0	0
ASV_7301	0	119	0	0	27	7
ASV_733	0	0	3	281	0	0
ASV_736	0	0	0	75	0	0
ASV_7395	0	985	0	0	0	0
ASV_74	0	0	0	135	56	0
ASV_740	51	0	0	45	0	0
ASV_741	42	0	0	57	0	0
ASV_7495	0	0	3	0	0	0
ASV_750	239	0	0	94	104	0
ASV_7507	0	21	0	0	0	0
ASV_756	0	0	0	10	23	0
ASV_76	2756	0	0	2635	53	0
ASV_7615	0	0	4	0	0	0
ASV_765	3	0	0	33	0	0
ASV_7654	0	0	0	54	0	0
ASV_77	752	0	0	103	9	0
ASV_7704	0	0	0	0	3	0
ASV_771	0	0	0	102	0	0
ASV_772	9	0	0	7	0	0
ASV_7763	2265	0	0	1651	0	0
ASV_7765	1051	0	0	405	22	0
ASV_7766	16224	0	70	20005	654	0
ASV_7767	0	0	0	2687	113	0
ASV_7779	353	0	26	1597	91	0
ASV_779	2397	0	0	745	194	0
ASV_7794	0	0	0	221	4	0
ASV_7798	77	0	0	66	0	0
ASV_7799	0	0	0	34	15	0
ASV_7813	0	0	0	176	7	0
ASV_7816	0	20	0	0	0	0
ASV_782	0	1136	21	0	0	0
ASV_7837	0	0	0	0	3	0
ASV_7843	2	0	0	0	0	0
ASV_7854	1	0	0	0	0	0
ASV_7862	0	3	0	0	0	0
ASV_7867	0	0	0	109	0	0
ASV_7870	525	0	0	215	0	0
ASV_7875	53	0	0	397	0	0
ASV_79	265	0	0	207	38	0
ASV_7918	68	0	0	21	0	0
ASV_7953	97	0	0	0	0	0
ASV_80	1133	0	0	1922	127	0
ASV_801	0	0	0	32	0	0
ASV_8027	0	0	0	24	0	0
ASV_804	440	0	0	511	5	0
ASV_805	0	0	0	20	0	0
ASV_8074	0	0	0	76	0	0
ASV_816	743	0	0	1005	0	0
ASV_8260	20	0	0	0	0	0
ASV_829	614	0	0	432	10	0
ASV_83	0	0	5	0	0	0
ASV_830	27	0	0	0	0	0
ASV_835	741	0	0	312	29	0
ASV_837	9	0	0	0	0	0
ASV_8391	1	0	0	1	3	0
ASV_8466	3583	0	0	0	0	0
ASV_8520	0	0	0	2	5	0
ASV_86	2765	2189	151	3114	328	0
ASV_860	0	0	0	0	42	0
ASV_861	0	0	0	32	0	0
ASV_8638	2	0	0	0	0	0
ASV_87	155	0	0	942	69	0
ASV_8731	0	0	7	0	0	0
ASV_879	36	0	0	179	0	0
ASV_8835	13	0	0	0	0	0
ASV_884	39	0	0	0	0	0
ASV_8887	11	0	0	6	0	0
ASV_89	55	0	0	0	0	0
ASV_892	102	0	0	44	0	0
ASV_9	0	0	0	0	3	0
ASV_90	894	0	0	580	0	0
ASV_901	39	0	0	172	0	0
ASV_9027	0	0	0	3	0	0
ASV_907	0	0	0	0	5	0
ASV_909	0	0	0	40	0	0
ASV_913	648	0	0	0	0	0
ASV_921	800	0	0	24	11	0
ASV_9268	0	1573	7	0	14	0
ASV_93	100	0	0	8	11	0
ASV_933	76	0	0	166	0	0
ASV_937	0	35	0	0	0	0
ASV_943	0	0	24	63	15	0
ASV_948	0	0	0	657	0	0
ASV_95	195	0	0	132	122	0
ASV_9599	0	0	9	0	0	0
ASV_9613	3	0	0	0	0	0
ASV_965	0	59	0	0	0	0
ASV_9667	0	3798	83	186	0	105
ASV_9668	2	0	95	285	0	20
ASV_9669	0	151	7	0	0	0
ASV_9672	0	0	17	0	0	0
ASV_9673	6	0	16	58	21	0
ASV_9676	0	0	17	0	0	0
ASV_9677	0	0	23	157	0	0
ASV_9678	0	0	4	0	0	14
ASV_9679	0	0	10	0	0	0
ASV_9680	0	3063	9	0	0	0
ASV_9683	0	2817	10	0	0	0
