	F_Day_0_Control_A	O_Day_0_Control_A	F_Day_7_Control_A	O_Day_7_Control_A	O_Day_3_Control_A	F_Day_3_Control_A
ASV_714	0	0	0	7	0	0
ASV_7174	0	3650	0	0	0	0
ASV_719	5	0	0	0	590	26
ASV_721	48	0	0	0	0	68
ASV_7239	0	0	0	0	7	0
ASV_729	0	0	0	0	0	119
ASV_73	176	0	32	0	0	0
ASV_7301	2	0	0	0	1640	7
ASV_7357	0	0	0	0	239	0
ASV_736	0	0	0	70	0	0
ASV_7395	0	0	0	0	37	0
ASV_741	0	0	0	0	0	19
ASV_7436	0	0	0	0	32	0
ASV_750	100	0	26	0	0	100
ASV_756	36	0	14	0	0	70
ASV_76	269	0	157	29	980	469
ASV_7631	0	0	0	0	44	0
ASV_765	25	0	17	0	0	35
ASV_77	14	0	0	0	0	30
ASV_7704	4	0	0	0	0	5
ASV_772	0	0	0	0	0	4
ASV_7763	3111	0	287	0	542	958
ASV_7765	213	0	134	0	0	105
ASV_7766	9305	0	5457	200	805	7642
ASV_7767	501	0	321	0	0	1114
ASV_7779	270	0	135	5	0	585
ASV_779	493	0	152	0	0	181
ASV_7794	106	0	7	0	0	35
ASV_7798	5	0	6	0	5	16
ASV_7799	0	0	0	0	0	5
ASV_780	0	0	0	0	552	0
ASV_7813	60	0	14	0	0	0
ASV_782	0	0	0	0	487	0
ASV_7834	0	14	0	0	0	0
ASV_7835	0	0	1	0	0	2
ASV_7839	0	0	0	0	0	1
ASV_7854	0	0	2	0	0	0
ASV_7867	0	0	99	0	0	0
ASV_7870	212	3032	35	0	1941	0
ASV_7875	0	0	0	0	415	27
ASV_79	116	0	34	0	761	77
ASV_7916	0	0	2	0	0	0
ASV_7918	17	0	0	0	0	21
ASV_80	93	0	187	0	0	1029
ASV_804	69	0	15	0	0	87
ASV_8094	0	12	0	0	0	0
ASV_8118	0	0	3	0	0	15
ASV_812	20	0	0	0	0	0
ASV_816	290	0	69	0	0	323
ASV_8229	0	0	1	0	0	4
ASV_8254	11	0	0	0	0	0
ASV_8260	0	0	0	0	0	6
ASV_829	97	698	68	0	0	180
ASV_830	0	0	0	0	0	10
ASV_835	130	0	106	0	0	255
ASV_837	6	0	0	0	0	9
ASV_8391	0	0	1	0	0	0
ASV_8425	4	0	0	0	0	0
ASV_8466	0	0	0	0	0	21
ASV_8520	2	0	3	0	0	0
ASV_8521	0	0	0	0	0	7
ASV_86	1856	4	71	9	23	85
ASV_8638	1	0	0	0	0	0
ASV_864	0	400	0	9	0	0
ASV_8652	0	0	0	0	0	3
ASV_866	37	0	0	0	0	45
ASV_87	115	0	190	29	0	595
ASV_8764	0	0	5	0	0	0
ASV_8789	0	0	0	5	0	0
ASV_879	0	0	0	0	0	119
ASV_884	11	0	0	0	0	9
ASV_8887	20	0	0	0	0	0
ASV_89	6	0	4	0	0	7
ASV_892	10	0	0	0	0	0
ASV_90	93	0	0	0	0	180
ASV_901	20	0	0	0	502	10
ASV_9027	0	0	0	0	0	1
ASV_907	0	0	0	7	0	0
ASV_9091	4	0	0	0	0	0
ASV_913	367	0	0	0	0	149
ASV_9155	10	0	0	0	0	11
ASV_921	387	0	0	0	0	152
ASV_9268	0	3	0	0	0	0
ASV_93	25	0	0	0	0	0
ASV_933	25	0	0	0	0	53
ASV_9383	2	0	0	0	0	0
ASV_95	0	0	19	0	0	23
ASV_9599	0	0	0	0	3	0
ASV_9667	0	952	0	0	1615	4
ASV_9668	0	1048	0	34	95	0
ASV_9669	0	0	0	5	0	0
ASV_9671	0	5508	0	0	0	0
ASV_9672	0	2099	0	0	0	0
