	F_Day_0_Control_C	O_Day_0_Control_C	F_Day_7_Control_C	O_Day_7_Control_C	O_Day_3_Control_C	F_Day_3_Control_C
ASV_225	68	0	101	0	0	222
ASV_226	70	0	38	0	168	121
ASV_228	155	0	54	0	39	216
ASV_2307	0	0	0	0	0	20
ASV_2309	16	0	21	0	0	5
ASV_231	4	0	321	0	0	736
ASV_232	38	0	77	0	0	143
ASV_233	0	0	30	0	0	163
ASV_237	240	0	329	0	103	1953
ASV_238	19	0	8	0	0	173
ASV_2392	0	0	0	0	247	0
ASV_24	0	27	0	0	48	0
ASV_240	8	0	34	0	0	173
ASV_241	21	0	116	0	65	684
ASV_242	0	201	0	0	43	0
ASV_2421	0	23	0	0	12	0
ASV_247	9	0	9	0	53	40
ASV_248	17	0	35	0	0	192
ASV_25	901	39	710	1329	53	8925
ASV_251	11	0	20	0	50	31
ASV_252	6	0	0	0	30	82
ASV_2532	0	0	0	0	0	3
ASV_2535	0	0	0	0	6	0
ASV_256	0	0	13	0	171	56
ASV_257	0	25	0	0	0	0
ASV_2596	0	50	0	0	0	0
ASV_2598	0	244	0	1871	180	0
ASV_26	173	0	0	0	353	336
ASV_262	0	0	0	0	0	3
ASV_263	11	0	45	0	0	42
ASV_2639	24	0	77	0	25	130
ASV_264	0	0	0	0	41	90
ASV_266	229	0	306	0	98	7281
ASV_269	0	0	0	0	104	40
ASV_27	179	0	3442	506	93	2944
ASV_2749	0	0	0	0	99	0
ASV_277	5	0	18	0	0	10
ASV_2777	25	0	0	0	0	0
ASV_278	92	0	12	0	179	425
ASV_2787	20	0	0	0	0	0
ASV_280	0	0	59	0	180	200
ASV_281	162	0	1179	0	29	4424
ASV_283	29	0	7	0	27	713
ASV_285	0	82	0	0	81	0
ASV_286	0	44	0	0	0	0
ASV_288	0	0	12	0	0	146
ASV_29	0	0	2	0	0	0
ASV_292	29	0	60	0	44	588
ASV_2942	23	0	0	0	14	0
ASV_296	14	0	27	0	53	8
ASV_299	30	0	8	0	106	82
ASV_30	950	0	764	0	65	1911
ASV_301	0	0	8	0	0	10
ASV_304	29	0	5	0	0	509
ASV_3069	0	0	0	0	82	0
ASV_309	0	0	0	0	6	0
ASV_31	23	0	21	0	16	79
ASV_311	0	36	0	0	34	0
ASV_3141	0	3	0	0	0	0
ASV_315	0	87	0	0	72	0
ASV_316	0	76	0	0	30	0
ASV_319	0	27	0	0	0	0
ASV_320	58	0	50	0	23	358
ASV_3221	0	18	0	0	0	0
ASV_323	13	0	0	0	0	22
ASV_3253	0	0	13	0	0	3
ASV_33	59	946	21	455	192	25
ASV_332	0	0	21	234	12	22
ASV_335	0	0	0	0	0	100
ASV_336	0	0	0	0	0	116
ASV_3372	140	0	76	0	0	2093
ASV_338	0	0	0	0	37	0
ASV_3381	0	0	0	0	7	0
ASV_3393	0	4	0	0	3	0
ASV_342	38	0	36	0	0	35
ASV_344	0	0	0	0	239	97
ASV_3504	0	29	0	0	11	0
ASV_3543	1	0	0	0	0	0
ASV_356	24	0	68	0	0	513
ASV_357	0	0	6	0	0	79
ASV_3597	33	0	0	0	9	8
ASV_36	73	0	0	0	19	20
ASV_360	129	0	54	0	81	356
ASV_3600	37	0	24	0	0	62
ASV_3607	0	64	0	5917	372	0
ASV_3608	0	0	0	1155	0	0
ASV_3609	0	33	0	0	0	0
ASV_361	3	0	9	0	0	61
ASV_3610	0	0	6	0	0	0
ASV_3618	8	0	0	0	0	3
ASV_3621	3	0	4	0	0	55
ASV_3622	42	0	5	0	31	64
ASV_3630	3	0	5	0	0	3
ASV_3631	0	0	1	0	0	2
ASV_3646	0	0	4	0	0	26
ASV_365	0	0	0	0	0	23
ASV_3650	0	143	0	2187	31	0
ASV_3657	0	0	1	0	0	3
ASV_3659	0	87	0	0	0	0
ASV_366	0	0	0	0	30	0
ASV_367	0	65	0	0	131	0
ASV_369	160	0	275	0	61	562
ASV_37	0	0	4	0	90	12
ASV_370	23	0	4	0	0	0
ASV_3703	0	0	0	0	0	2
ASV_371	0	0	0	0	0	9
ASV_3715	0	0	0	0	0	1
ASV_3718	607	0	248	0	0	8521
ASV_3739	0	0	0	628	0	0
ASV_374	0	183	0	0	928	0
ASV_3763	0	118	0	0	61	0
ASV_377	0	17	0	0	0	0
ASV_3785	0	17	0	0	0	0
ASV_3799	0	0	8	0	0	18
ASV_380	107	0	5	0	0	842
ASV_382	2	0	0	0	0	12
ASV_385	0	0	0	0	0	12
ASV_387	0	0	7	0	0	0
ASV_3870	0	0	0	0	0	2
ASV_3892	3	0	0	0	0	0
ASV_39	7	0	11	0	134	57
ASV_390	0	0	0	0	0	4
ASV_3913	0	3	0	0	34	0
ASV_3918	30	0	36	0	111	154
ASV_3924	0	26	0	0	0	0
ASV_398	14	0	184	0	18	401
ASV_3987	71	49	110	0	961	102
ASV_399	0	0	54	0	170	44
ASV_4	23480	1088	6858	3305	18099	47007
ASV_40	109	0	477	0	553	2066
ASV_400	13	0	0	0	0	59
ASV_401	0	21	0	0	0	0
ASV_4018	57	0	86	0	320	509
ASV_402	0	0	0	0	28	0
ASV_403	0	0	0	0	46	0
ASV_4032	38	0	83	0	4	1032
ASV_4037	0	15	0	0	0	0
ASV_404	0	0	0	0	108	9
ASV_4056	0	6	0	0	0	0
ASV_409	84	0	167	0	0	126
ASV_41	0	417	0	4431	191	0
ASV_4129	0	23	0	0	0	0
ASV_413	0	20	0	0	106	0
ASV_4138	0	0	0	0	452	0
ASV_414	0	0	0	0	29	0
ASV_415	0	2	0	0	0	0
ASV_4174	1	0	0	0	0	0
ASV_4181	0	0	0	0	43	0
ASV_419	0	0	0	0	39	0
ASV_42	5	0	0	0	0	0
ASV_421	0	0	0	0	61	0
ASV_4231	0	0	5	0	0	0
ASV_4241	0	0	0	0	19	0
ASV_425	0	0	6	0	0	22
ASV_428	0	0	0	0	6	0
ASV_43	0	0	45	0	0	106
ASV_4314	0	0	0	0	0	4
ASV_4332	0	5	0	0	0	0
ASV_436	0	0	0	0	84	0
ASV_439	331	19	297	0	0	1369
ASV_441	4	0	0	0	0	67
ASV_4434	0	0	15	0	69	5
ASV_4458	31	0	164	0	162	770
ASV_45	16	0	16	2	313	81
ASV_453	0	0	0	0	0	39
ASV_454	0	0	0	0	49	0
ASV_46	254	0	19	0	335	144
ASV_460	24	0	76	0	0	214
ASV_461	0	0	89	0	0	493
ASV_462	0	0	0	0	30	0
ASV_4620	5	0	4	0	0	24
ASV_466	0	0	11	0	0	136
ASV_467	0	0	0	224	0	0
ASV_471	76	0	0	0	58	112
ASV_48	661	0	389	0	128	1533
ASV_481	70	0	38	0	0	162
ASV_486	0	0	71	0	0	25
ASV_4878	0	0	0	440	0	0
ASV_488	0	0	0	2450	0	0
ASV_4897	0	0	0	0	2	0
ASV_49	31	0	24	0	142	119
ASV_490	0	0	0	0	0	22
ASV_4911	0	37	0	0	103	0
ASV_4994	5	26	0	0	0	0
ASV_50	60	0	155	0	0	294
ASV_505	301	0	14	0	0	56
ASV_506	0	0	0	0	0	46
ASV_509	0	49	0	0	0	0
ASV_511	12	0	32	0	0	222
ASV_519	4	0	65	0	0	399
ASV_526	0	130	0	0	0	0
ASV_53	0	3711	0	8747	15965	0
ASV_530	0	35	0	0	0	0
ASV_534	0	0	0	0	56	33
ASV_539	225	0	168	0	0	668
ASV_54	102	0	108	0	11	751
ASV_544	11	0	16	0	0	140
ASV_55	60	25	0	0	10	0
ASV_552	215	0	189	0	15	764
ASV_559	0	18	0	0	0	0
ASV_56	0	0	0	0	0	97
ASV_5600	2	0	0	0	0	9
ASV_5605	0	0	0	0	21	0
ASV_5606	8	16	10	0	15	8
ASV_5608	0	0	0	0	32	0
ASV_563	0	24	0	0	0	0
ASV_564	12	0	0	0	0	60
ASV_566	37	0	5	0	0	127
ASV_567	0	0	27	0	0	119
ASV_5675	0	0	0	521	0	0
ASV_568	25	0	19	0	0	497
ASV_569	0	0	0	0	60	0
ASV_5697	0	49	0	0	0	0
ASV_57	0	0	0	0	0	4
ASV_5711	23	0	2	0	0	0
ASV_572	251	0	182	201	0	819
ASV_5747	0	0	0	793	99	0
ASV_578	159	0	50	0	0	25
ASV_580	62	0	115	0	22	216
ASV_585	18	0	58	0	0	275
ASV_5876	0	12	0	0	97	0
ASV_5888	0	0	0	0	43	0
ASV_5928	0	61	0	0	677	0
ASV_595	0	0	0	0	12	0
ASV_596	8	0	0	0	0	11
ASV_5966	0	0	0	0	1307	0
ASV_597	0	0	0	0	0	57
ASV_5986	0	0	0	0	0	5
ASV_6003	0	0	0	0	21	0
ASV_6011	0	296	0	5866	77	0
ASV_602	0	17	0	0	0	0
ASV_604	217	0	0	0	0	223
ASV_6045	0	0	0	0	79	0
ASV_6066	0	7	0	0	0	0
ASV_6069	0	0	0	1121	0	0
ASV_6074	0	0	0	0	53	0
ASV_6109	6	0	7	0	0	8
ASV_612	0	0	0	0	0	101
ASV_6137	0	0	0	585	0	0
ASV_614	0	0	0	0	33	0
ASV_6144	0	0	0	27	119	0
ASV_6182	0	0	0	572	0	0
ASV_619	0	37	0	0	66	0
ASV_6208	0	0	0	0	33	0
ASV_6235	0	0	0	0	10	0
ASV_6282	0	11	0	0	0	0
ASV_6391	0	12	0	0	0	0
ASV_64	30	0	19	0	0	119
ASV_647	12	0	5	0	0	49
ASV_648	56	0	0	0	0	122
ASV_65	2	16	9	0	12	11
ASV_6503	0	0	13	0	0	0
ASV_6507	0	0	0	0	7	0
ASV_652	7	0	28	0	0	54
ASV_6536	0	0	0	0	41	0
ASV_654	13	0	5	0	0	32
ASV_655	13	0	69	0	25	22
ASV_656	0	212	0	0	91	0
ASV_658	86	0	112	0	0	2716
ASV_659	0	77	0	0	0	0
ASV_661	0	0	0	0	41	0
ASV_663	20	0	16	0	0	216
ASV_6682	0	0	0	275	0	0
ASV_67	63	0	0	0	44	17
ASV_672	0	0	0	0	18	0
ASV_6745	0	81	0	1855	7	0
ASV_6751	0	0	0	395	0	0
ASV_6810	0	0	0	67	0	0
ASV_684	0	0	0	0	0	40
ASV_6856	0	0	0	1	0	0
ASV_6863	0	81	0	1673	95	0
ASV_69	0	0	101	0	0	462
ASV_7	2190	163	2563	1640	4942	4612
ASV_70	183	0	766	0	55	3191
ASV_7050	0	0	0	0	104	0
ASV_706	0	0	0	0	0	10
ASV_71	59	0	125	0	865	65
ASV_7130	0	0	0	0	35	0
ASV_719	8	0	55	0	17	231
ASV_721	10	0	0	0	0	236
ASV_7220	0	11	0	0	0	0
ASV_7239	0	0	0	637	0	0
ASV_729	0	0	0	0	0	163
ASV_73	0	0	16	0	93	16
ASV_7301	0	82	0	4178	274	0
ASV_732	0	0	0	0	4	0
ASV_736	0	194	0	0	125	0
