Group,Seed,Fold,ThresOral,ThresDensity,Precision,Recall,F1,Accuracy
CD,0,2,0.003381357,45766500025.0,0.0,0.0,0.0,0.592592593
CD,0,3,0.003162049,113441000000.0,0.727272727,0.5,0.592592593,0.592592593
CD,0,4,0.008783099,70756370274.0,1.0,0.166666667,0.285714286,0.62962963
CD,0,5,0.002485222,126734000000.0,0.4,0.166666667,0.235294118,0.518518519
CD,1,1,0.008926732,70817097514.0,0.8,0.363636364,0.5,0.703703704
CD,1,2,0.002783419,51235840581.0,0.0,0.0,0.0,0.481481481
CD,1,3,0.003210841,174104000000.0,1.0,0.208333333,0.344827586,0.296296296
CD,1,4,0.006234303,72205306697.0,0.333333333,0.111111111,0.166666667,0.62962963
CD,1,5,0.0030814,154314000000.0,0.6,0.157894737,0.25,0.333333333
CD,2,1,0.008567903,70723922199.0,0.0,0.0,0.0,0.62962963
CD,2,2,0.008718577,10143691077.0,0.0,0.0,0.0,0.925925926
CD,2,3,0.008728195,69018777760.0,0.25,0.125,0.166666667,0.62962963
CD,2,4,0.003313189,51389214416.0,0.125,0.142857143,0.133333333,0.518518519
CD,2,5,0.016353101,72427866867.0,1.0,0.083333333,0.153846154,0.592592593
CD,3,1,0.008855224,10674466978.0,0.0,0.0,0.0,0.888888889
CD,3,2,0.003557249,34636977910.0,0.166666667,0.25,0.2,0.703703704
CD,3,3,0.008690385,71433020366.0,0.0,0.0,0.0,0.62962963
CD,3,4,0.002557467,125633000000.0,0.666666667,0.25,0.363636364,0.481481481
CD,3,5,0.003074953,70929987384.0,0.333333333,0.5,0.4,0.666666667
CD,4,1,0.008696177,71398604272.0,0.0,0.0,0.0,0.592592593
CD,4,2,0.00883742,71159472521.0,0.5,0.166666667,0.25,0.777777778
CD,4,3,0.010001157,14093943196.0,0.0,0.0,0.0,0.851851852
CD,4,4,0.003373634,70663323637.0,0.75,0.5,0.6,0.703703704
CD,4,5,0.003335759,76599065484.0,0.428571429,0.272727273,0.333333333,0.555555556
CD,5,1,0.001327633,138158000000.0,0.727272727,0.4,0.516129032,0.444444444
CD,5,2,0.003215702,76477132332.0,0.5,0.214285714,0.3,0.481481481
CD,5,3,0.008872351,11270170469.0,0.0,0.0,0.0,0.888888889
CD,5,4,0.008950688,13552539384.0,0.0,0.0,0.0,0.851851852
